entry	name	namespace	is_thunk	calling_convention	parameter_count	return_type
00401000	FUN_00401000	Global	false	__cdecl	1	undefined4
00401036	FUN_00401036	Global	false	__cdecl	1	undefined4
00401078	FUN_00401078	Global	false	__cdecl	1	undefined4
004010ba	FUN_004010ba	Global	false	__cdecl	2	char *
00401133	FUN_00401133	Global	false	__stdcall	4	LRESULT
0040117c	FUN_0040117c	Global	false	__cdecl	1	undefined
0040133c	FUN_0040133c	Global	false	__cdecl	3	undefined
004013e5	FUN_004013e5	Global	false	__cdecl	2	undefined4
00401445	FUN_00401445	Global	false	__stdcall	0	undefined
0040145f	FUN_0040145f	Global	false	__stdcall	3	WPARAM
004016d2	FUN_004016d2	Global	false	__stdcall	4	LRESULT
00409747	FUN_00409747	Global	false	__stdcall	4	undefined4
00409b22	FUN_00409b22	Global	false	__cdecl	1	undefined
0040a1fb	FUN_0040a1fb	Global	false	__cdecl	1	undefined
0040a274	FUN_0040a274	Global	false	__cdecl	2	undefined
0040ad29	FUN_0040ad29	Global	false	__stdcall	4	undefined4
0040ad72	FUN_0040ad72	Global	false	__stdcall	4	undefined4
0040adb4	FUN_0040adb4	Global	false	__stdcall	4	undefined4
0040adf6	FUN_0040adf6	Global	false	__stdcall	4	undefined4
0040ae38	FUN_0040ae38	Global	false	__stdcall	4	undefined4
0040ae7a	FUN_0040ae7a	Global	false	__stdcall	4	undefined4
0040aebc	FUN_0040aebc	Global	false	__stdcall	4	undefined4
0040aefe	FUN_0040aefe	Global	false	__stdcall	3	undefined
0040af1b	FUN_0040af1b	Global	false	__stdcall	2	undefined
0040af38	FUN_0040af38	Global	false	__stdcall	0	undefined
0040af4f	FUN_0040af4f	Global	false	__stdcall	3	undefined
0040af6c	FUN_0040af6c	Global	false	__stdcall	3	undefined
0040af89	FUN_0040af89	Global	false	__stdcall	4	undefined
0040afa6	FUN_0040afa6	Global	false	__stdcall	4	undefined
0040afc3	FUN_0040afc3	Global	false	__stdcall	4	LRESULT
0040b004	FUN_0040b004	Global	false	__stdcall	4	LRESULT
0040b055	FUN_0040b055	Global	false	__stdcall	3	undefined4
0040b12d	FUN_0040b12d	Global	false	__stdcall	4	LRESULT
0040b2da	FUN_0040b2da	Global	false	__stdcall	4	LRESULT
0040b34e	FUN_0040b34e	Global	false	__stdcall	4	LRESULT
0040b3c2	FUN_0040b3c2	Global	false	__stdcall	4	LRESULT
0040b41f	FUN_0040b41f	Global	false	__stdcall	4	LRESULT
0040b493	FUN_0040b493	Global	false	__cdecl	1	undefined4
0040b4ed	FUN_0040b4ed	Global	false	__stdcall	0	undefined4
0040b628	FUN_0040b628	Global	false	__stdcall	0	undefined4
0040b784	FUN_0040b784	Global	false	__cdecl	1	bool
0040b86b	FUN_0040b86b	Global	false	__thiscall	2	void *
0040b894	FUN_0040b894	Global	false	__cdecl	1	int
0040b8f0	FUN_0040b8f0	Global	false	__cdecl	1	int
0040b947	FUN_0040b947	Global	false	__stdcall	4	undefined4
0040ba7d	FUN_0040ba7d	Global	false	__stdcall	4	undefined4
0040bd02	FUN_0040bd02	Global	false	__stdcall	3	undefined4
0040bdc3	FUN_0040bdc3	Global	false	__cdecl	1	undefined
0040bde7	FUN_0040bde7	Global	false	__cdecl	1	undefined
0040be0b	FUN_0040be0b	Global	false	__stdcall	0	int
0040be9e	FUN_0040be9e	Global	false	__cdecl	1	int
0040bfb7	FUN_0040bfb7	Global	false	__stdcall	4	undefined4
0040c130	FUN_0040c130	Global	false	__cdecl	1	undefined
0040c196	FUN_0040c196	Global	false	__cdecl	1	undefined
0040c55b	FUN_0040c55b	Global	false	__cdecl	1	undefined4
0040c7c0	FUN_0040c7c0	Global	false	__cdecl	1	undefined4
0040c9df	FUN_0040c9df	Global	false	__cdecl	3	undefined
0040ca01	FUN_0040ca01	Global	false	__cdecl	3	undefined
0040ca22	FUN_0040ca22	Global	false	__stdcall	3	undefined4
0040cabd	FUN_0040cabd	Global	false	__stdcall	4	undefined4
0040cd0c	FUN_0040cd0c	Global	false	__cdecl	2	HWND
0040cf1c	FUN_0040cf1c	Global	false	__stdcall	0	undefined
0040d2b9	FUN_0040d2b9	Global	false	__cdecl	2	undefined
0040d301	FUN_0040d301	Global	false	__cdecl	1	char *
