"Function","Inferred responsibility","Evidence","Confidence"
"FUN_00401000","Test whether a dialog control ID is one of the known hyperlink controls.","Scans a two-entry table at `DAT_00451060`.","High"
"FUN_00401036","Return visited/opened state for a known hyperlink control.","Same table; returns state at `DAT_00451064`.","High"
"FUN_00401078","Return original wndproc for a subclassed hyperlink control.","Same table; returns stored previous wndproc from `DAT_00451068`.","High"
"FUN_004010ba","Return hyperlink display target or click target.","Returns `logic_friday@sontrak.com`/URL text for display; on click marks visited and returns `mailto:` or web target.","High"
"FUN_00401133","Subclass procedure for hyperlink-like static controls.","Handles `WM_SETCURSOR` with hand cursor, otherwise forwards to previous wndproc from `FUN_00401078`.","High"
"FUN_0040117c","Initialize about-dialog hyperlink controls.","Gets dialog items from link table, creates underlined font, sizes controls, subclasses each with `FUN_00401133`.","High"
"FUN_0040133c","Owner-draw the hyperlink controls.","Selects visited/unvisited colors, draws URL/mail text with `ExtTextOutA`.","High"
"FUN_004013e5","Open a hyperlink or email address with the shell and mark it visited.","Uses `FUN_004010ba(..., 1)` to get `mailto:` or web URL, calls `ShellExecuteA(..., ""open"", ...)`, invalidates the link control.","High"
"FUN_00401445","Release hyperlink font resource.","Deletes cached font object.","High"
"FUN_0040145f","Application entry/main message loop.","Registers main window plus `DiagOutWindow` and `DiagInWindow`, loads RichEdit DLL, creates main window, loads accelerators, runs `GetMessageA`/`TranslateMessage`/`DispatchMessageA`.","High"
"FUN_004016d2","Main window procedure and central command dispatcher.","Registered as main class wndproc; handles many `WM_COMMAND` IDs, opens dialogs, launches map/minimize/import/export/save flows, calls `DefWindowProcA` fallback.","High"
"FUN_00409747","MINTIME dialog procedure for configuring and returning minimize-time benchmark parameters. It initializes numeric spinner controls, radio/check boxes, enables/disables percent-true input, and on OK writes selected inputs/outputs/repetitions/percent mode/exact-fast/log flags back to the caller parameter block.","Passed to DialogBoxParamA(..., ""MINTIME"", ..., FUN_00409747, &local_13f0) in FUN_004016d2. Handles WM_INITDIALOG and WM_COMMAND, initializes up-down controls 0x484/0x486/0x488/0x48a, reads edit controls 0x483/0x485/0x487/0x489, checks controls 0x408/0x42a/0x48b/0x48c, and caller uses the returned fields for MINIMIZE TIME TEST timing runs with FUN_0040c55b.","High"
"FUN_00409b22","Recreates or imports a stored gate diagram into the active diagram-entry UI by replaying gate/object placement and wire-connection actions.","Starts diagram entry with SendMessageA(DAT_00452aac, WM_COMMAND, 0xcd, 0), iterates saved diagram objects at param_1 + 0x3a4 / count param_1 + 0x1650, maps saved object types to gate-palette command IDs 0x3f4..0x402, 0x430, 0x438, 0x439, sends mouse/command messages to DAT_00452a98, uses FUN_0040a1fb for Variable Name dialogs, then replays wire connections using stored pin coordinates and source indexes.","High"
"FUN_0040a1fb","Worker thread that auto-fills and accepts the modal Variable Name dialog during scripted diagram reconstruction/input-output node insertion.","FUN_00409b22 sends command 0x438/0x439, then starts FUN_0040a1fb with __beginthread; this function waits for FindWindowA(""#32770"", ""Variable Name""), writes dialog item 0x43e via SetDlgItemTextA, sends WM_COMMAND IDOK, then exits via FUN_0043ea5f. For command 0x439 it forces name ""X""; otherwise it uses the supplied name pointer.","High"
"FUN_0040a274","Central UI error-message dispatcher: decodes a packed Logic Friday error code, formats the matching message, and shows it with MessageBoxA.","Switches on param_2 >> 0x10, formats strings such as ""Syntax error in equation."", ""No function is selected."", ""Unable to map the function."", and ""File error %d."", then calls MessageBoxA(param_1, local_10c, caption, 0). Call sites pass packed constants like 0x40001, 0x50000, 0x1a0000, 0x2d0040, and 0x2f000a from startup, selection validation, minimization/mapping, parsing, file, and external-tool flows.","High"
"FUN_0040ad29","Thin Win32 dialog-procedure wrapper for the TTSETUP truth-table setup dialog; initializes/caches the dialog context on WM_INITDIALOG, then delegates all message handling to FUN_00418362.","Called as DialogBoxParamA(..., ""TTSETUP"", ..., FUN_0040ad29, 0x46bf70). Before the call, 0x46bf70 is populated with &DAT_0046c2d0 and &DAT_00452b30. On WM_INITDIALOG, FUN_0040ad29 stores lParam globally, then delegates to FUN_00418362, which initializes input/output count controls, validates variable names, writes labels/counts into the truth-table data block, allocates output truth-table arrays sized 1 << inputCount, and ends the dialog.","High"
"FUN_0040ad72","Dialog-procedure thunk for the gate-mapping options dialog MAPDIALOG; binds the current function/model object, then forwards dialog messages to the object-specific handler that builds user.genlib from selected gate types.","Main gate mapping command calls FUN_0040ad72(NULL, 0x8008, 0, DAT_0046c1ac), then DialogBoxParamA(..., ""MAPDIALOG"", ..., FUN_0040ad72, 0). Message 0x8008 stores param_4 in DAT_0046c4d8; later messages call FUN_00422090(DAT_0046c4d8, hwnd, msg, command). FUN_00422090 handles WM_INITDIALOG/WM_COMMAND, checks NAND/NOR controls, validates required gate type selection, writes GATE nand*/nor* definitions to %s\\user.genlib, and ends the dialog.","High"
"FUN_0040adb4","VARNAMEDLG dialog-procedure trampoline for adding a new gate-diagram input/output variable name.","Called as DialogBoxParamA(..., ""VARNAMEDLG"", ..., FUN_0040adb4, gateType) when placing gate types 0x438 / 0x439. It saves param_4 into DAT_0046c4dc on message 0x8008; otherwise calls FUN_00435e82. The delegate initializes edit control 0x43e, validates the entered name with FUN_00436863, reports duplicate/invalid-name errors, appends accepted names to the input-name array for 0x438 or output-name array for 0x439, and closes the dialog.","High"
"FUN_0040adf6","Dialog-procedure thunk for the Variable Name dialog used to rename an existing input/output variable node in the diagram editor.","Handles custom message 0x8008 by storing the current function/model pointer in DAT_0046c4e0, otherwise delegates to FUN_004362c1. DialogBoxParamA(..., ""VARNAMEDLG"", ..., FUN_0040adf6, selectedIndex) is invoked on double-click of diagram objects whose type is 8 or 9. The delegate initializes edit control 0x43e, validates via FUN_00436863, updates input/output name arrays and the selected diagram object label, then calls EndDialog.","High"
